Umsteigebauwerke;;;;;;;;;
;;;;Koordinaten GK4;Koordinaten GK4;Koordinaten;Koordinaten;Untergeordnete;
Typ;Nr.;Name;;X;Y;latitude;longitude;Exportnummer;Nr.
;;;;;;;;;
Bauwerk;3;S+U Alexanderplatz Bhf;;4596000;5821830;52.521152;13.412832;;100003
Zwischenpunkt;14;Bahnsteig S-Bahn (Treppe Tegeler Weg);1;4588258;5822702;52.530293;13.299035;9719414;
ÖV;37;Bahnsteig Gleis 3+4 Bahn;1;4588282;5822698;52.530254;13.299387;9719437;
Zwischenpunkt;41;Bahnsteig Gleis 3+4 Bahn (Treppe) Tegeler Weg;1;4588259;5822702;52.530293;13.299050;9719441;
Zugang und ÖV;39;Bushaltestelle Tegeler Weg vor Olbersstraße;0;4588068;5822691;52.530225;13.296233;9719439;
Zwischenpunkt;31;Bahnsteig U7 Rudow (Rolltreppe zum Zwischengeschoss);-2;4588259;5822702;52.530293;13.299050;9719431;
Zwischenpunkt;25;Zwischengeschoss (Rolltreppe zum Bahnsteig U7 Richtung Rathaus Spandau);-1;4588260;5822702;52.530293;13.299064;9719425;
Zwischenpunkt;20;Zwischengeschoss (Rolltreppe zum Bahnsteig S-Bahn);-1;4588258;5822701;52.530284;13.299035;9719420;
Zwischenpunkt;16;Bahnsteig S-Bahn (Treppe zum Zwischengeschoss);1;4588258;5822702;52.530293;13.299035;9719416;
Zwischenpunkt;17;Bahnsteig S-Bahn (Rolltreppe zum Zwischengeschoss);1;4588259;5822701;52.530284;13.299049;9719417;
Zwischenpunkt;47;Zwischengeschoss (Aufzug zum Bahnsteig Gleis 3+4 Bahn);-1;4588260;5822701;52.530284;13.299064;9719447;
Zwischenpunkt;46;Zwischengeschoss (Rolltreppe zum Bahnsteig Gleis 3+4 Bahn);-1;4588259;5822701;52.530284;13.299049;9719446;

Bauwerk;158;S+U Wedding;;4592780;5824170;52.542732;13.366060;;9104
ÖV;2;Bahnsteig S-Bahn;1;4592780;5824148;52.542534;13.366053;9719302;
Zugang;9;Zugang (Treppe) Müllerstraße/Lynarstraße;0;4592794;5824131;52.542379;13.366255;9719309
Zwischenpunkt;21;Bahnsteig S-Bahn (Treppe Müllerstraße/Lynarstraße);1;4592780;5824147;52.542525;13.366053;9719321
Zwischenpunkt;23;Bahnsteig S-Bahn (Aufzug Müllerstraße/Lynarstraße);1;4592780;5824147;52.542525;13.366053;9719323
Zugang;6;Zugang (Treppe) Lynarstraße;0;4592779;5824119;52.542274;13.366031;9719306
Zwischenpunkt;15;Bahnsteig U6 (Treppe Müllerstraße/Lindowerstraße/Lynarstraße);-1;4592780;5824147;52.542525;13.366053;9719315
Zwischenpunkt;22;Bahnsteig S-Bahn (Rolltreppe Müllerstraße/Lynarstraße);1;4592780;5824148;52.542534;13.366053;9719322
Zugang;4;Zugang (Treppe) Müllerstraße/Lindowerstraße/Lynarstraße;0;4592761;5824161;52.542654;13.365777;9719304
Zugang und ÖV;14;Bushaltestelle Müllerstraße vor Lynarstraße;0;4592730;5824171;52.542749;13.365323;9719314
Zwischenpunkt;19;Bahnsteig S-Bahn (Treppe Lynarstraße);1;4592780;5824146;52.542516;13.366053;9719319
Zugang;8;Zugang (Aufzug U6)  Müllerstraße hinter Lindower Straße;0;4592738;5824183;52.542856;13.365444;9719308
Zwischenpunkt;16;Bahnsteig U6 (Treppe Müllerstraße/Gerichtstraße/Burgdorfstraße);-1;4592780;5824147;52.542525;13.366053;9719316
Zugang;5;Zugang (Treppe) Müllerstraße/Gerichtstraße/Burgdorfstraße;0;4592661;5824252;52.543489;13.364329;9719305
Zugang;10;Zugang (Rolltreppe) Müllerstraße/Lynarstraße;0;4592794;5824131;52.542379;13.366255;9719310
Zugang;11;Zugang (Aufzug) Müllerstraße/Lynarstraße;0;4592794;5824131;52.542379;13.366255;9719311
Zugang und ÖV;13;Bushaltestelle Müllerstraße hinter Lindower Straße;0;4592756;5824184;52.542861;13.365710;9719313
Zwischenpunkt;17;Bahnsteig U6 (Aufzug U6);-1;4592780;5824148;52.542534;13.366053;9719317
Zugang;3;Zugang (Treppe) Nettelbeckplatz;0;4593010;5824300;52.543860;13.369485;9719303;
Zwischenpunkt;20;Bahnsteig S-Bahn (Treppe Lindower Straße);1;4592780;5824147;52.542525;13.366053;9719320;
ÖV;1;Bahnsteig U6;-1;4592780;5824147;52.542525;13.366053;9719301;
Zugang;7;Zugang (Treppe) Lindower Straße;0;4592903;5824222;52.543178;13.367887;9719307;
Zwischenpunkt;18;Bahnsteig S-Bahn (Treppe Nettelbeckplatz);1;4592780;5824147;52.542525;13.366053;9719318;

Bauwerk;161;S+U Westhafen;;4591210;5823450;52.536528;13.342727;;1201
Zwischenpunkt;18;Zwischengeschoss Westhafenstraße (Rolltreppe zum Bahnsteig U9);-2;4591158;5823371;52.535827;13.341939;9719618;
Zwischenpunkt;24;Bahnsteig S-Bahn (Treppe Quitzowstraße/Putlitzbrücke/BEWAG);-1;4591158;5823371;52.535827;13.341939;9719624;
Zugang;5;Zugang (Aufzug) Quitzowstraße/An der Putlitzbrücke;0;4591257;5823349;52.535613;13.343392;9719605;
Zwischenpunkt;13;Zwischengeschoss S-Bahn (Treppe zum Bahnsteig U9);-2;4591158;5823370;52.535818;13.341939;9719613;
Zugang;4;Zugang (Treppe) Quitzowstraße/An der Putlitzbrücke;0;4591256;5823350;52.535622;13.343378;9719604;
Zugang und ÖV;8;Bushaltestelle Putlitzbrücke vor Friedrich-Krause-Ufer;0;4591279;5823358;52.535690;13.343719;9719608;
ÖV;2;Bahnsteig S-Bahn;-1;4591269;5823350;52.535620;13.343569;9719602;
Zugang und ÖV;7;Bushaltestelle Putlitzbrücke hinter Westhafen;0;4591258;5823339;52.535523;13.343404;9719607;
Zwischenpunkt;16;Zwischengeschoss S-Bahn (Aufzug zum Bahnsteig S-Bahn);-2;4591158;5823371;52.535827;13.341939;9719616;
Zwischenpunkt;12;Bahnsteig U9 (Rolltreppe zum Zwischengeschoss Westhafenstraße);-3;4591158;5823370;52.535818;13.341939;9719612
Zwischenpunkt;9;Bahnsteig U9 (Treppe zum Zwischengeschoss S-Bahn);-3;4591158;5823370;52.535818;13.341939;9719609
Zwischenpunkt;23;Bahnsteig S-Bahn (Aufzug Quitzowstraße/Putlitzbrücke);-1;4591158;5823370;52.535818;13.341939;9719623
Zugang;6;Zugang (Treppe) Quitzowstraße/An der Putlitzbrücke/BEWAG;0;4591283;5823349;52.535608;13.343775;9719606
Zwischenpunkt;14;Zwischengeschoss S-Bahn (Aufzug zum Bahnsteig U9);-2;4591158;5823371;52.535827;13.341939;9719614
Zwischenpunkt;17;Zwischengeschoss Westhafenstraße (Treppe zum Bahnsteig U9);-2;4591158;5823370;52.535818;13.341939;9719617
Zwischenpunkt;10;Bahnsteig U9 (Aufzug zum Zwischengeschoss S-Bahn);-3;4591158;5823370;52.535818;13.341939;9719610
Zwischenpunkt;19;Zwischengeschoss Westhafenstraße (Treppe Westhafenstraße/Putlitzbrücke);-2;4591158;5823371;52.535827;13.341939;9719619
Zugang;3;Zugang (Treppe) Westhafenstraße/An der Putlitzbrücke;0;4591217;5823580;52.537695;13.342866;9719603
Zwischenpunkt;20;Bahnsteig S-Bahn (Treppe zum Zwischengeschoss S-Bahn);-1;4591158;5823370;52.535818;13.341939;9719620
Zwischenpunkt;11;Bahnsteig U9 (Treppe zum Zwischengeschoss Westhafenstraße);-3;4591158;5823371;52.535827;13.341939;9719611
ÖV;1;Bahnsteig U9;-3;4591178;5823441;52.536452;13.342253;9719601
Zwischenpunkt;22;Bahnsteig S-Bahn (Treppe Quitzowstraße/Putlitzbrücke);-1;4591158;5823370;52.535818;13.341939;9719622
Zwischenpunkt;21;Bahnsteig S-Bahn (Aufzug zum Zwischengeschoss S-Bahn);-1;4591158;5823370;52.535818;13.341939;9719621
Zwischenpunkt;15;Zwischengeschoss S-Bahn (Treppe zum Bahnsteig S-Bahn);-2;4591158;5823371;52.535827;13.341939;9719615

Bauwerk;165;S+U Gesundbrunnen Bhf;;4594258;5824900;52.549036;13.388045;;7102
ÖV;1;Bahnsteig U8;-4;4594221;5824931;52.549321;13.387509;9704001;
Zugang;4;Zugang (Treppe) Humboldthain/Brunnenstraße/Ramlerstraße;0;4594316;5824778;52.547930;13.388866;9704004;
Zugang;9;Zugang (Treppe Gleis 3/4) Bad-/Brunnenstraße;0;4594290;5824901;52.549040;13.388517;9704009;
Zugang;11;Zugang (Treppe Gleis 1/2,) Bad-/Brunnenstraße;0;4594286;5824921;52.549220;13.388464;9704011;
Zugang;14;Zugang (Aufzug Gleis 1/2);0;4594269;5824915;52.549169;13.388212;9704014;
Zugang und ÖV;18;Bushaltestelle Hanne-Sobek-Platz;0;4594233;5824894;52.548987;13.387675;9704018;
Zwischenpunkt;31;Zwischengeschoss (Treppe Bahnsteig U8);-3;4594215;5824934;52.549349;13.387421;9704031;
Zwischenpunkt;43;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe Badstraße/Brunnenstraße);-2;4594307;5824911;52.549127;13.388771;9704043;
Zwischenpunkt;48;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Aufzug);-2;4594308;5824911;52.549127;13.388785;9704048;
ÖV;88;Bahnsteig Gleis 7+8;-2;4594371;5824852;52.548586;13.389697;9704088;
ÖV;89;Bahnsteig Gleis 9+10;-2;4594376;5824829;52.548378;13.389764;9704089;
Zugang;61;Zugang (Aufzug Gleis 7+8);0;4594288;5824845;52.548537;13.388472;9704061;
Zugang;62;Zugang (Aufzug Gleis 9+10);0;4594297;5824823;52.548338;13.388598;9704062;
Zugang;64;Zugang (Treppe Gleis 7+8);0;4594301;5824846;52.548544;13.388664;9704064;
Zugang;68;Zugang (Rolltreppe Gleis 9+10);0;4594307;5824819;52.548300;13.388745;9704068;
Zwischenpunkt;80;Bahnsteig Gleis 7+8 (Treppe zur Überführung);-2;4594281;5824910;52.549122;13.388387;9704080
Zwischenpunkt;84;Bahnsteig Gleis 9+10 (Treppe Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704084
Zwischenpunkt;85;Bahnsteig Gleis 9+10 (Rolltreppe Badstraße/Brunnenstraße);-2;4594280;5824911;52.549131;13.388373;9704085
Zwischenpunkt;86;Bahnsteig Gleis 9+10 (Treppe zur Überführung);-2;4594279;5824910;52.549123;13.388358;9704086
Zwischenpunkt;91;Zwischengeschoss (Aufzug zum Gleis 7+8);-3;4594280;5824911;52.549131;13.388373;9704091
Zwischenpunkt;94;Zwischengeschoss (Treppe zum Gleis 7+8);-3;4594280;5824911;52.549131;13.388373;9704094
Zwischenpunkt;99;Überführung (Treppe zum Bahnsteig Gleis 5+6);-1;4594280;5824909;52.549113;13.388372;9704099
Zwischenpunkt;100;Überführung (Treppe zum Bahnsteig Gleis 7+8);-1;4594279;5824909;52.549114;13.388357;9704100
Zwischenpunkt;120;Überführung (Treppe zum Bahnsteig Gleis 9+10);-1;4594280;5824910;52.549122;13.388372;9704120
Zwischenpunkt;55;Überführung (Treppe zum Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden);-1;4594308;5824911;52.549127;13.388785;9704055
Zugang;6;Zugang (Schalterhalle) Bad-/Grüntaler Straße;0;4594188;5824948;52.549480;13.387027;9704006
Zwischenpunkt;39;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe zum Bahnsteig U8);-2;4594309;5824911;52.549126;13.388800;9704039
Zwischenpunkt;42;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Rolltreppe zum Zwischengeschoss);-2;4594308;5824911;52.549127;13.388785;9704042
Zwischenpunkt;47;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe zum Bahnsteig U8);-2;4594308;5824911;52.549127;13.388785;9704047
Zugang;60;Zugang (Aufzug Gleis 5+6);0;4594280;5824869;52.548754;13.388361;9704060
Zwischenpunkt;71;Bahnsteig Gleis 5+6 (Rolltreppe zum Zwischengeschoß);-2;4594280;5824910;52.549122;13.388372;9704071
Zwischenpunkt;73;Bahnsteig Gleis 5+6 (Rolltreppe Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704073
Zwischenpunkt;76;Bahnsteig Gleis 7+8 (Treppe zum Zwischengeschoß);-2;4594280;5824910;52.549122;13.388372;9704076
Zwischenpunkt;83;Bahnsteig Gleis 9+10 (Rolltreppe zum Zwischengeschoß.);-2;4594281;5824910;52.549122;13.388387;9704083
Zwischenpunkt;96;Zwischengeschoss (Rolltreppe zum Gleis 5+6);-3;4594280;5824909;52.549113;13.388372;9704096
Zugang;10;Zugang (Rolltreppe Gleis 3/4) Bad-/Brunnenstraße;0;4594291;5824896;52.548995;13.388531;9704010
Zugang;13;Zugang (Aufzug Gleis 3/4);0;4594277;5824895;52.548988;13.388324;9704013
Zwischenpunkt;22;Bahnsteig U8 (Treppe zum Zwischengeschoss);-4;4594215;5824935;52.549358;13.387422;9704022
Zwischenpunkt;24;Bahnsteig U8 (Treppe Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden);-4;4594215;5824935;52.549358;13.387422;9704024
Zwischenpunkt;34;Zwischengeschoss (Aufzug Gleis 1/2, S-Bahn Richtung Westen und Süden);-3;4594214;5824934;52.549349;13.387407;9704034
Zwischenpunkt;41;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe zum Zwischengeschoss);-2;4594308;5824911;52.549127;13.388785;9704041
Zwischenpunkt;50;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Rolltreppe zum Zwischengeschoss);-2;4594308;5824911;52.549127;13.388785;9704050
Zwischenpunkt;52;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Rolltreppe Badstraße/Brunnenstraße);-2;4594307;5824911;52.549127;13.388771;9704052
Zwischenpunkt;56;Überführung (Rolltreppe zum Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden);-1;4594307;5824911;52.549127;13.388771;9704056
Zugang;65;Zugang (Treppe Gleis 7+8);0;4594307;5824823;52.548336;13.388746;9704065
Zwischenpunkt;81;Bahnsteig Gleis 9+10 (Aufzug zum Zwischengeschoß und Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704081
Zwischenpunkt;90;Zwischengeschoss (Aufzug zum Gleis 5+6));-3;4594280;5824910;52.549122;13.388372;9704090
Zwischenpunkt;97;Zwischengeschoss (Rolltreppe zum Gleis 7+8);-3;4594280;5824910;52.549122;13.388372;9704097
Zugang;7;Zugang (Schalterhalle) Behm-/Grüntaler Straße;0;4594204;5824964;52.549621;13.387268;9704007
Zugang und ÖV;16;Bushaltestelle Hanne-Sobek-Platz;0;4594266;5824862;52.548694;13.388153;9704016
Zwischenpunkt;26;Bahnsteig U8 (Rolltreppe zur Schalterhalle);-4;4594214;5824934;52.549349;13.387407;9704026
Zwischenpunkt;28;Schalterhalle (Rolltreppe Bahnsteig U8);0;4594214;5824934;52.549349;13.387407;9704028
Zwischenpunkt;46;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Rolltreppe zur Überführung);-2;4594308;5824911;52.549127;13.388785;9704046
Zwischenpunkt;53;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe zur Überführung);-2;4594307;5824911;52.549127;13.388771;9704053
Zwischenpunkt;58;Überführung (Rolltreppe zum Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden);-1;4594308;5824911;52.549127;13.388785;9704058
Zwischenpunkt;77;Bahnsteig Gleis 7+8 (Rolltreppe zum Zwischengeschoß);-2;4594280;5824910;52.549122;13.388372;9704077
Zwischenpunkt;82;Bahnsteig Gleis 9+10 (Treppe zum Zwischengeschoß);-2;4594280;5824910;52.549122;13.388372;9704082
ÖV;2;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden;-2;4594359;5824927;52.549261;13.389542;9704002
ÖV;3;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden;-2;4594362;5824906;52.549072;13.389580;9704003
Zugang;12;Zugang (Rolltreppe Gleis 1/2,) Bad-/Brunnenstraße;0;4594287;5824916;52.549175;13.388477;9704012
Zugang;15;Zugang (Rampe) Swinemünder Straße;0;4594440;5824939;52.549355;13.390739;9704015
Zwischenpunkt;20;Bahnsteig U8 (Rolltreppe Humboldthain/Brunnenstraße/Ramlerstraße);-4;4594215;5824935;52.549358;13.387422;9704020
Zwischenpunkt;21;Bahnsteig U8 (Aufzug);-4;4594215;5824935;52.549358;13.387422;9704021
Zwischenpunkt;23;Bahnsteig U8 (Treppe Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden);-4;4594215;5824935;52.549358;13.387422;9704023
Zwischenpunkt;25;Bahnsteig U8 (Treppe zur Schalterhalle);-4;4594215;5824935;52.549358;13.387422;9704025
Zwischenpunkt;32;Zwischengeschoss (Aufzug U8);-3;4594214;5824934;52.549349;13.387407;9704032
Zwischenpunkt;33;Zwischengeschoss (Aufzug Gleis 3/4, S-Bahn Richtung Osten und Norden);-3;4594214;5824934;52.549349;13.387407;9704033
Zwischenpunkt;35;Zwischengeschoss (Treppe Gleis 3/4, S-Bahn Richtung Osten und Norden);-3;4594215;5824934;52.549349;13.387421;9704035
Zwischenpunkt;37;Zwischengeschoss (Treppe Gleis 1/2, S-Bahn Richtung Westen und Süden);-3;4594214;5824934;52.549349;13.387407;9704037
Zwischenpunkt;40;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Aufzug);-2;4594308;5824911;52.549127;13.388785;9704040
Zwischenpunkt;49;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe zum Zwischengeschoss);-2;4594308;5824911;52.549127;13.388785;9704049
Zwischenpunkt;59;Überführung (Rampe Swinemünder Straße);-1;4594308;5824911;52.549127;13.388785;9704059
Zwischenpunkt;69;Bahnsteig Gleis 5+6 (Aufzug zum Zwischengeschoß und Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704069
Zwischenpunkt;72;Bahnsteig Gleis 5+6 (Treppe Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704072
Zwischenpunkt;74;Bahnsteig Gleis 5+6 (Treppe zur Überführung);-2;4594280;5824909;52.549113;13.388372;9704074
Zugang;5;Zugang (Rolltreppe) Humboldthain/Brunnenstraße/Ramlerstraße;0;4594314;5824777;52.547922;13.388836;9704005
Zugang;8;Zugang (Aufzug U8);0;4594265;5824882;52.548873;13.388143;9704008
Zwischenpunkt;38;Zwischengeschoss (Rolltreppe Gleis 1/2, S-Bahn Richtung Westen und Süden);-3;4594214;5824934;52.549349;13.387407;9704038
Zwischenpunkt;44;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Rolltreppe Badstraße/Brunnenstraße);-2;4594308;5824911;52.549127;13.388785;9704044
Zwischenpunkt;51;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Treppe Badstraße/Brunnenstraße);-2;4594307;5824911;52.549127;13.388771;9704051
Zugang;67;Zugang (Rolltreppe Gleis 7+8);0;4594302;5824844;52.548526;13.388678;9704067
Zwischenpunkt;70;Bahnsteig Gleis 5+6 (Treppe zum Zwischengeschoß);-2;4594280;5824910;52.549122;13.388372;9704070
Zwischenpunkt;75;Bahnsteig Gleis 7+8 (Aufzug zum Zwischengeschoß und Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704075
Zwischenpunkt;78;Bahnsteig Gleis 7+8 (Treppe Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704078
Zwischenpunkt;92;Zwischengeschoss (Aufzug zum Gleis 9+10);-3;4594280;5824910;52.549122;13.388372;9704092
Zwischenpunkt;93;Zwischengeschoss (Treppe zum Gleis 5+6);-3;4594280;5824910;52.549122;13.388372;9704093
Zwischenpunkt;95;Zwischengeschoss (Treppe zum Gleis 9+10);-3;4594280;5824910;52.549122;13.388372;9704095
Zugang und ÖV;17;Bushaltestelle Badstraße hinter Böttgerstraße;0;4594124;5824962;52.549617;13.386088;9704017
Zwischenpunkt;19;Bahnsteig U8 (Treppe Humboldthain/Brunnenstraße/Ramlerstraße);-4;4594215;5824935;52.549358;13.387422;9704019
Zwischenpunkt;27;Schalterhalle (Treppe Bahnsteig U8);0;4594215;5824934;52.549349;13.387421;9704027
Zwischenpunkt;36;Zwischengeschoss (Rolltreppe Gleis 3/4, S-Bahn Richtung Osten und Norden);-3;4594214;5824935;52.549358;13.387407;9704036
Zwischenpunkt;45;Bahnsteig Gleis 1/2, S-Bahn Richtung Westen und Süden (Treppe zur Überführung);-2;4594308;5824911;52.549127;13.388785;9704045
Zwischenpunkt;54;Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden (Rolltreppe zur Überführung);-2;4594308;5824911;52.549127;13.388785;9704054
Zwischenpunkt;57;Überführung (Treppe zum Bahnsteig Gleis 3/4, S-Bahn Richtung Osten und Norden);-1;4594308;5824911;52.549127;13.388785;9704057
ÖV;87;Bahnsteig Gleis 5+6;-2;4594366;5824877;52.548811;13.389631;9704087
Zugang;63;Zugang (Treppe Gleis 5+6);0;4594296;5824871;52.548769;13.388597;9704063;
Zugang;66;Zugang (Rolltreppe Gleis 5+6);0;4594296;5824869;52.548751;13.388597;9704066;
Zwischenpunkt;79;Bahnsteig Gleis 7+8 (Rolltreppe Badstraße/Brunnenstraße);-2;4594280;5824910;52.549122;13.388372;9704079;
Zwischenpunkt;98;Zwischengeschoss (Rolltreppe zum Gleis 9+10);-3;4594280;5824909;52.549113;13.388372;9704098;

Bauwerk;166;S+U Schönhauser Allee;;4596020;5824940;52.549088;13.414024;;110001
Zugang;4;Zugang (Treppe am Aufzug) Schönhauser Allee/Arcaden;0;4596077;5824971;52.549357;13.414873;9720804;
Zugang;6;Zugang (Treppe) Schönhauser Allee/Arcaden;0;4596098;5824963;52.549281;13.415180;9720806;
Zugang;9;Zugang (Treppe) Schivelbeiner Straße/Wichertstraße;0;4596003;5825026;52.549864;13.413798;9720809;
Zugang;10;Zugang (Rolltreppe) Schönhauser Allee;0;4595998;5824968;52.549344;13.413708;9720810;
Zugang und ÖV;15;Bushaltestelle Schönhauser Allee vor gegenüberliegender Dänenstraße;0;4596012;5824947;52.549153;13.413908;9720815;
Zugang und ÖV;13;Bushaltestelle Schönhauser Allee hinter Dänenstraße;0;4595979;5824950;52.549185;13.413423;9720813;
Zugang und ÖV;14;Tramsteig Schönhauser Allee vor Kopenhagener Straße;0;4595978;5824945;52.549141;13.413407;9720814;
Zwischenpunkt;25;Bahnsteig U2 (Rolltreppe Schönhauser Allee);1;4595998;5824961;52.549281;13.413706;9720825;
Zwischenpunkt;33;Durchgang (Treppe S-Bahn Schönhauser Allee);-1;4596017;5824982;52.549466;13.413992;9720833;
Zugang und ÖV;18;Bushaltestelle Wichertstraße vor Greifenhagener Straße;0;4596269;5825036;52.549907;13.417721;9720818;
Zugang und ÖV;19;Bushaltestelle Wichertstraße hinter Greifenhagener Straße;0;4596256;5825015;52.549720;13.417524;9720819
Zwischenpunkt;28;Bahnsteig S-Bahn (Treppe am Aufzug Schönhauser Allee/Arcaden);-2;4596072;5824972;52.549367;13.414800;9720828
Zwischenpunkt;30;Bahnsteig S-Bahn (Treppe Schönhauser Allee/Arcaden);-2;4596104;5824961;52.549262;13.415268;9720830
Zugang und ÖV;21;Bushaltestelle Schivelbeiner Straße hinter Schönhauser Allee;0;4595961;5825131;52.550815;13.413210;9720821
Zwischenpunkt;32;Durchgang (Treppe zum Bahnsteig S-Bahn);-1;4596032;5824979;52.549436;13.414212;9720832
Zugang und ÖV;17;Bushaltestelle Wichertstraße vor Schönhauser Allee;0;4596049;5825119;52.550691;13.414503;9720817
ÖV;1;Bahnsteig U2;1;4595996;5824946;52.549146;13.413672;9720801
Zwischenpunkt;23;Bahnsteig U2 (Aufzug);1;4596000;5825001;52.549640;13.413747;9720823
Zwischenpunkt;29;Bahnsteig S-Bahn (Aufzug Schönhauser Allee/Arcaden);-2;4596080;5824970;52.549347;13.414917;9720829
Zugang und ÖV;20;Bushaltestelle Schivelbeiner Straße vor Schönhauser Allee;0;4595974;5825105;52.550579;13.413394;9720820
Zugang;7;Zugang (Treppe S-Bahn) Schönhauser Allee;0;4596007;5824983;52.549477;13.413845;9720807
Zwischenpunkt;22;Bahnsteig U2 (Treppe Schivelbeiner Straße/Wichertstraße);1;4596002;5825019;52.549801;13.413782;9720822
Zwischenpunkt;31;Bahnsteig S-Bahn (Treppe zum Durchgang);-2;4596047;5824978;52.549425;13.414433;9720831
Zugang;3;Zugang (Treppe) Greifenhagener Straße;0;4596176;5824934;52.549007;13.416321;9720803
Zugang;5;Zugang (Aufzug) Schönhauser Allee/Arcaden;0;4596080;5824970;52.549347;13.414917;9720805
Zugang;8;Zugang (Treppe U2) Schönhauser Allee;0;4595999;5824979;52.549442;13.413726;9720808
Zugang;11;Zugang (Aufzug);0;4596000;5825001;52.549640;13.413747;9720811;
Zwischenpunkt;26;Bahnsteig U2 (Treppe Stargarder Straße/Gleimstraße);1;4595989;5824877;52.548528;13.413549;9720826;
Zwischenpunkt;27;Bahnsteig S-Bahn (Treppe Greifenhagener Straße);-2;4596160;5824942;52.549082;13.416088;9720827;
ÖV;2;Bahnsteig S-Bahn;-2;4596089;5824964;52.549292;13.415048;9720802;
Zugang;12;Zugang (Treppe) Stargarder Straße/Gleimstraße;0;4595990;5824887;52.548617;13.413567;9720812;
Zugang und ÖV;16;Tramsteig Schönhauser Allee vor gegenüberliegender Dänenstraße;0;4596012;5824954;52.549215;13.413910;9720816;
Zwischenpunkt;24;Bahnsteig U2 (Treppe Schönhauser Allee);1;4595999;5824973;52.549388;13.413724;9720824;

Bauwerk;169;S+U Frankfurter Allee;;4600295;5821074;52.513588;13.475859;;120001
Zugang;5;Zugang (Treppe) Frankfurter Allee/Pettenkoferstraße;0;4600222;5821102;52.513853;13.474792;9720505;
Zwischenpunkt;29;Bahnsteig U5 (Treppe zum Zwischengeschoss Gürtelstraße);-2;4600261;5821078;52.513630;13.475360;9720529;
Zwischenpunkt;28;Bahnsteig U5 (Aufzug zum Zwischengeschoss Ringcenter);-2;4600261;5821078;52.513630;13.475360;9720528;
Zugang;4;Zugang (Treppe) Frankfurter Allee;0;4600224;5821180;52.514553;13.474845;9720504;
Zugang;3;Zugang (Treppe) Frankfurter Allee/Rigaer Straße;0;4600213;5821206;52.514789;13.474691;9720503;
Zugang und ÖV;10;Bushaltestelle Frankfurter Allee hinter Gürtelstraße;0;4600448;5821034;52.513201;13.478100;9720510;
Zwischenpunkt;30;Zwischengeschoss (Treppe zum Bahnsteig S-Bahn);1;4600232;5821194;52.514678;13.474967;9720530;
Zugang und ÖV;13;Bushaltestelle Gürtelstraße hinter Frankfurter Allee;0;4600338;5821023;52.513122;13.476477;9720513
Zugang und ÖV;14;Bushaltestelle Möllendorffstraße hinter Frankfurter Allee;0;4600420;5821108;52.513870;13.477710;9720514
Zugang und ÖV;16;Bushaltestelle Gürtelstraße vor Frankfurter Allee;0;4600366;5821033;52.513207;13.476892;9720516
ÖV;2;Bahnsteig S-Bahn;2;4600239;5821165;52.514416;13.475062;9720502
Zwischenpunkt;21;Zwischengeschoss Ringcenter (Treppe Frankfurter  Allee/Pettenkoferstraße);-1;4600261;5821078;52.513630;13.475360;9720521
Zwischenpunkt;26;Zwischengeschoss Gürtelstraße (Treppe Frankfurter  Allee/Möllendorffstraße);-1;4600261;5821078;52.513630;13.475360;9720526
Zugang und ÖV;18;Tramsteig Möllendorffstraße vor Frankfurter Allee;0;4600408;5821125;52.514025;13.477538;9720518
